group id,buy item,buy quantity,sell item,sell quantity,quantity,posted by,added,server
0,2793,1,303,1,1,CheapMule,2020-01-18 01:43:22,
1,2793,2,303,1,1,Camzilla,2020-01-18 01:42:02,
2,2793,1,303,1,1,Dalamaster,2020-01-17 22:48:50,EUE
3,2793,1,303,1,1,Loatus,2020-01-16 19:24:20,
4,2793,1,308,1,1,BepBepBep,2020-01-18 02:38:43,EUE
5,573,1,2793,100,1,ImHip,2020-01-16 17:03:12,
6,573,1,2990,5,1,ImHip,2020-01-16 17:03:12,
7,2793,1,573,1,1,CheapMule,2020-01-18 01:43:22,
8,8337,1,2793,1,10,Nimty,2020-01-17 01:55:21,USW
8,613,1,,,10,Nimty,2020-01-17 01:55:21,USW
9,2793,1,613,1,1,Sinwah,2020-01-17 18:24:01,
10,2793,2,613,1,1,Nitsuja,2020-01-17 16:02:35,
11,2985,1,8343,1,1,FubukiPvP,2020-01-18 04:13:13,
11,,,8346,1,1,FubukiPvP,2020-01-18 04:13:13,
11,,,8345,1,1,FubukiPvP,2020-01-18 04:13:13,
11,,,613,1,1,FubukiPvP,2020-01-18 04:13:13,
12,2793,2,613,1,1,FatElgoon,2020-01-18 01:31:09,
13,2985,1,8333,1,1,Snuf,2020-01-18 01:13:49,
13,,,8342,1,1,Snuf,2020-01-18 01:13:49,
13,,,8343,1,1,Snuf,2020-01-18 01:13:49,
13,,,8334,1,1,Snuf,2020-01-18 01:13:49,
13,,,613,1,1,Snuf,2020-01-18 01:13:49,
14,2793,2,613,1,1,HRSV,2020-01-17 17:58:07,
15,2793,2,613,1,1,Pomnqwzx,2020-01-17 17:11:48,
16,2793,1,613,1,1,Utvandrare,2020-01-17 09:36:22,
17,2793,1,613,1,1,PupLoyal,2020-01-17 00:37:26,USE
18,2794,1,613,1,1,Mursito,2020-01-16 17:09:46,
19,2793,1,1404,1,1,CheapMule,2020-01-18 01:43:22,
20,2794,1,1404,1,1,Bobbinater,2020-01-18 00:07:17,USE2
21,2793,4,1409,1,1,HeroOfWar,2020-01-18 03:23:51,USW2
22,2793,3,1409,1,1,Disissiomp,2020-01-17 15:47:46,USE2
23,2793,1,1412,1,1,Frodobaggz,2020-01-18 05:15:55,
24,2793,3,1412,1,1,CheapMule,2020-01-18 01:43:22,
25,2793,2,1412,1,1,XFantasyy,2020-01-18 00:12:31,
26,2793,1,1412,1,1,EpicGanon,2020-01-17 17:40:18,USW2
27,1413,1,2793,2,1,Dibujitos,2020-01-17 15:51:50,
28,1413,1,2793,2,1,ArAnDaNoxD,2020-01-17 14:13:59,
29,1413,1,2793,3,1,Paizon,2020-01-17 09:22:32,
30,2793,4,1413,1,3,ASDMJRHZFM,2020-01-18 06:11:46,
31,1414,1,2793,2,1,Dibujitos,2020-01-17 15:51:50,
32,1414,1,2793,2,1,ArAnDaNoxD,2020-01-17 14:13:59,
33,1414,1,2793,3,1,Paizon,2020-01-17 09:22:32,
34,2793,4,1414,1,2,ASDMJRHZFM,2020-01-18 06:11:46,
35,1415,1,2793,2,1,ArAnDaNoxD,2020-01-17 14:13:59,
36,1415,1,2793,3,1,Paizon,2020-01-17 09:22:32,
37,2793,4,1415,1,7,ASDMJRHZFM,2020-01-18 06:11:46,
38,1416,1,2793,2,1,ArAnDaNoxD,2020-01-17 14:13:59,
39,1416,1,2793,3,1,Paizon,2020-01-17 09:22:32,
40,2793,4,1416,1,2,ASDMJRHZFM,2020-01-18 06:11:46,
41,2793,1,1793,1,1,CheapMule,2020-01-18 01:43:22,
42,2793,1,1803,1,1,CheapMule,2020-01-18 01:43:22,
43,3098,1,1808,1,10,Seasharck,2020-01-18 06:21:14,
44,2793,3,1808,1,1,Firyturb,2020-01-16 21:53:56,
45,2793,3,1808,1,1,XFantasyy,2020-01-18 00:12:31,
46,2793,3,1808,1,1,Keythsson,2020-01-17 23:21:21,USS2
